Statistical profiling result from isolate-0x2c25004c000-v8.log, (5086 ticks, 69 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *validateAsyncId internal/async_hooks.js:112:25
      1    0.0%    0.0%  LazyCompile: *processCallback zlib.js:486:25
      1    0.0%    0.0%  LazyCompile: *emitAfterScript internal/async_hooks.js:348:25
      1    0.0%    0.0%  LazyCompile: *Vortex.self.move /home/john/Projects/Torn.Space/app.js:2219:22
      1    0.0%    0.0%  LazyCompile: *Planet.self.tick /home/john/Projects/Torn.Space/app.js:2015:22
      1    0.0%    0.0%  Builtin: TypedArrayPrototypeLength
      1    0.0%    0.0%  Builtin: TypedArrayConstructor
      1    0.0%    0.0%  Builtin: ToObject {1}
      1    0.0%    0.0%  Builtin: Subtract
      1    0.0%    0.0%  Builtin: StringPrototypeCharCodeAt
      1    0.0%    0.0%  Builtin: StringAdd_ConvertLeft_NotTenured
      1    0.0%    0.0%  Builtin: StoreIC_Uninitialized
      1    0.0%    0.0%  Builtin: OrdinaryToPrimitive_Number
      1    0.0%    0.0%  Builtin: Multiply
      1    0.0%    0.0%  Builtin: MathSin
      1    0.0%    0.0%  Builtin: InterpreterPushArgsThenCallWithFinalSpread
      1    0.0%    0.0%  Builtin: FunctionPrototypeHasInstance
      1    0.0%    0.0%  Builtin: FindOrderedHashMapEntry
      1    0.0%    0.0%  Builtin: FastNewClosure
      1    0.0%    0.0%  Builtin: ConstructWithSpread {1}
      1    0.0%    0.0%  Builtin: ConstructVarargs
      1    0.0%    0.0%  Builtin: CallFunction_ReceiverIsNullOrUndefined
      1    0.0%    0.0%  Builtin: CEntry_Return1_DontSaveFPRegs_ArgvOnStack_BuiltinExit
      1    0.0%    0.0%  Builtin: ArraySingleArgumentConstructor_Holey_DisableAllocationSites
      1    0.0%    0.0%  Builtin: ArrayFilter
      1    0.0%    0.0%  Builtin: Add {1}
      1    0.0%    0.0%  Builtin: AdaptorWithExitFrame

 [C++]:
   ticks  total  nonlib   name
   1393   27.4%   28.9%  epoll_pwait
    135    2.7%    2.8%  void std::__introsort_loop<v8::base::AtomicElement<v8::internal::Smi*>*, long, __gnu_cxx::__ops::_Iter_comp_iter<v8::internal::EnumIndexComparator<v8::internal::NameDictionary> > >(v8::base::AtomicElement<v8::internal::Smi*>*, v8::base::AtomicElement<v8::internal::Smi*>*, long, __gnu_cxx::__ops::_Iter_comp_iter<v8::internal::EnumIndexComparator<v8::internal::NameDictionary> >)
    121    2.4%    2.5%  void node::StreamBase::JSMethod<&node::StreamBase::WriteBuffer>(v8::FunctionCallbackInfo<v8::Value> const&)
     73    1.4%    1.5%  void std::__unguarded_linear_insert<v8::base::AtomicElement<v8::internal::Smi*>*, __gnu_cxx::__ops::_Val_comp_iter<v8::internal::EnumIndexComparator<v8::internal::NameDictionary> > >(v8::base::AtomicElement<v8::internal::Smi*>*, __gnu_cxx::__ops::_Val_comp_iter<v8::internal::EnumIndexComparator<v8::internal::NameDictionary> >)
     69    1.4%    1.4%  node::native_module::NativeModuleLoader::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
     64    1.3%    1.3%  v8::internal::BaseNameDictionary<v8::internal::NameDictionary, v8::internal::NameDictionaryShape>::CopyEnumKeysTo(v8::internal::Isolate*, v8::internal::Handle<v8::internal::NameDictionary>, v8::internal::Handle<v8::internal::FixedArray>, v8::internal::KeyCollectionMode, v8::internal::KeyAccumulator*)
     46    0.9%    1.0%  v8::internal::Dictionary<v8::internal::NameDictionary, v8::internal::NameDictionaryShape>::NumberOfEnumerableProperties()
     43    0.8%    0.9%  node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
     40    0.8%    0.8%  __GI___mprotect
     32    0.6%    0.7%  __GI___libc_write
     31    0.6%    0.6%  v8::internal::compiler::GraphReducer::ReduceTop()
     18    0.4%    0.4%  v8::internal::compiler::Node::New(v8::internal::Zone*, unsigned int, v8::internal::compiler::Operator const*, int, v8::internal::compiler::Node* const*, bool)
     18    0.4%    0.4%  v8::internal::compiler::GraphReducer::Recurse(v8::internal::compiler::Node*)
     17    0.3%    0.4%  v8::internal::JsonStringifier::Result v8::internal::JsonStringifier::Serialize_<true>(v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Handle<v8::internal::Object>)
     13    0.3%    0.3%  v8::internal::FastDtoa(double, v8::internal::FastDtoaMode, int, v8::internal::Vector<char>, int*, int*)
     12    0.2%    0.2%  v8::internal::JsonStringifier::SerializeString(v8::internal::Handle<v8::internal::String>)
     12    0.2%    0.2%  v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
     12    0.2%    0.2%  __lll_unlock_wake
     11    0.2%    0.2%  __memcpy_avx_unaligned_erms
     10    0.2%    0.2%  v8::internal::compiler::SourcePositionTable::GetSourcePosition(v8::internal::compiler::Node*) const
     10    0.2%    0.2%  v8::internal::Runtime_GenerateRandomNumbers(int, v8::internal::Object**, v8::internal::Isolate*)
     10    0.2%    0.2%  __libc_read
     10    0.2%    0.2%  __GI___libc_malloc
      9    0.2%    0.2%  v8::internal::compiler::GraphTrimmer::TrimGraph()
      9    0.2%    0.2%  v8::internal::compiler::GraphReducer::Reduce(v8::internal::compiler::Node*)
      9    0.2%    0.2%  v8::internal::JsonStringifier::Result v8::internal::JsonStringifier::Serialize_<false>(v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Handle<v8::internal::Object>)
      8    0.2%    0.2%  void std::__insertion_sort<v8::base::AtomicElement<v8::internal::Smi*>*, __gnu_cxx::__ops::_Iter_comp_iter<v8::internal::EnumIndexComparator<v8::internal::NameDictionary> > >(v8::base::AtomicElement<v8::internal::Smi*>*, v8::base::AtomicElement<v8::internal::Smi*>*, __gnu_cxx::__ops::_Iter_comp_iter<v8::internal::EnumIndexComparator<v8::internal::NameDictionary> >)
      8    0.2%    0.2%  v8::internal::compiler::StateValuesCache::FillBufferWithValues(std::array<v8::internal::compiler::Node*, 8ul>*, unsigned long*, unsigned long*, v8::internal::compiler::Node**, unsigned long, v8::internal::BitVector const*, int)
      8    0.2%    0.2%  v8::internal::Scanner::Scan()
      8    0.2%    0.2%  node::binding::GetInternalBinding(v8::FunctionCallbackInfo<v8::Value> const&)
      8    0.2%    0.2%  int v8::internal::BinarySearch<(v8::internal::SearchMode)1, v8::internal::DescriptorArray>(v8::internal::DescriptorArray*, v8::internal::Name*, int, int*)
      7    0.1%    0.1%  void std::__move_median_to_first<v8::base::AtomicElement<v8::internal::Smi*>*, __gnu_cxx::__ops::_Iter_comp_iter<v8::internal::EnumIndexComparator<v8::internal::NameDictionary> > >(v8::base::AtomicElement<v8::internal::Smi*>*, v8::base::AtomicElement<v8::internal::Smi*>*, v8::base::AtomicElement<v8::internal::Smi*>*, v8::base::AtomicElement<v8::internal::Smi*>*, __gnu_cxx::__ops::_Iter_comp_iter<v8::internal::EnumIndexComparator<v8::internal::NameDictionary> >)
      6    0.1%    0.1%  v8::internal::compiler::OperatorProperties::HasFrameStateInput(v8::internal::compiler::Operator const*)
      6    0.1%    0.1%  v8::internal::compiler::NodeProperties::GetEffectInput(v8::internal::compiler::Node*, int)
      6    0.1%    0.1%  v8::internal::String::ToNumber(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>)
      6    0.1%    0.1%  v8::internal::Runtime_StringToNumber(int, v8::internal::Object**, v8::internal::Isolate*)
      6    0.1%    0.1%  v8::internal::IncrementalMarking::Step(unsigned long, v8::internal::IncrementalMarking::CompletionAction, v8::internal::StepOrigin, v8::internal::WorklistToProcess)
      6    0.1%    0.1%  v8::internal::Factory::TryNewFixedArray(int, v8::internal::PretenureFlag)
      6    0.1%    0.1%  epoll_ctl
      5    0.1%    0.1%  v8::internal::interpreter::BytecodeGenerator::VisitNoStackOverflowCheck(v8::internal::AstNode*)
      5    0.1%    0.1%  v8::internal::interpreter::BytecodeArrayAccessor::UpdateOperandScale()
      5    0.1%    0.1%  v8::internal::compiler::SourcePositionTable::Decorator::Decorate(v8::internal::compiler::Node*)
      5    0.1%    0.1%  v8::internal::compiler::NodeProperties::PastFrameStateIndex(v8::internal::compiler::Node*)
      5    0.1%    0.1%  v8::internal::compiler::NodeProperties::IsControlEdge(v8::internal::compiler::Edge)
      5    0.1%    0.1%  v8::internal::compiler::LoopVariableOptimizer::Run()
      5    0.1%    0.1%  v8::internal::Map::should_be_fast_prototype_map() const
      5    0.1%    0.1%  v8::internal::LookupIterator::State v8::internal::LookupIterator::LookupInRegularHolder<false>(v8::internal::Map*, v8::internal::JSReceiver*)
      5    0.1%    0.1%  v8::internal::JsonStringifier::SerializeDouble(double)
      5    0.1%    0.1%  v8::internal::JSObject::HasEnumerableElements()
      5    0.1%    0.1%  v8::internal::JSObject::FastPropertyAt(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Representation, v8::internal::FieldIndex)
      5    0.1%    0.1%  v8::internal::FieldIndex::ForDescriptor(v8::internal::Map const*, int)
      5    0.1%    0.1%  v8::internal::Factory::NewFixedArrayWithFiller(v8::internal::Heap::RootListIndex, int, v8::internal::Object*, v8::internal::PretenureFlag)
      5    0.1%    0.1%  v8::internal::EnumIndexComparator<v8::internal::NameDictionary>::operator()(v8::base::AtomicElement<v8::internal::Smi*> const&, v8::base::AtomicElement<v8::internal::Smi*> const&)
      5    0.1%    0.1%  __pthread_cond_signal
      5    0.1%    0.1%  __lll_lock_wait
      5    0.1%    0.1%  __GI___madvise
